"web-scraper-order","web-scraper-start-url","brawler_link","brawler_link-href","pin_img-src"
"1714985996-1","https://brawlstars.fandom.com/wiki/Category:Brawlers","Willow","https://brawlstars.fandom.com/wiki/Willow","https://static.wikia.nocookie.net/brawlstars/images/1/13/Willow_Pin-Neutral.png/revision/latest/scale-to-width-down/45?cb=20230305123040"
"1714985996-2","https://brawlstars.fandom.com/wiki/Category:Brawlers","Willow","https://brawlstars.fandom.com/wiki/Willow","https://static.wikia.nocookie.net/brawlstars/images/2/29/Willow_Scorpion_Pin-Special.png/revision/latest/scale-to-width-down/45?cb=20230914184615"
"1714986012-3","https://brawlstars.fandom.com/wiki/Category:Brawlers","Tick","https://brawlstars.fandom.com/wiki/Tick","https://static.wikia.nocookie.net/brawlstars/images/9/92/Tick_Pin-Neutral.png/revision/latest/scale-to-width-down/40?cb=20210920043250"
"1714986012-4","https://brawlstars.fandom.com/wiki/Category:Brawlers","Tick","https://brawlstars.fandom.com/wiki/Tick","https://static.wikia.nocookie.net/brawlstars/images/8/83/Tick_Snowman_Pin-Clap.png/revision/latest/scale-to-width-down/45?cb=20211217135330"
"1714986012-5","https://brawlstars.fandom.com/wiki/Category:Brawlers","Tick","https://brawlstars.fandom.com/wiki/Tick","https://static.wikia.nocookie.net/brawlstars/images/0/00/Tick_Tick_Shooky_Pin-Neutral.png/revision/latest/scale-to-width-down/45?cb=20220629084715"
"1714986012-6","https://brawlstars.fandom.com/wiki/Category:Brawlers","Tick","https://brawlstars.fandom.com/wiki/Tick","https://static.wikia.nocookie.net/brawlstars/images/0/0e/Tick_Cerberus_Pin-Neutral.png/revision/latest/scale-to-width-down/45?cb=20230428132408"
"1714986012-7","https://brawlstars.fandom.com/wiki/Category:Brawlers","Tick","https://brawlstars.fandom.com/wiki/Tick","https://static.wikia.nocookie.net/brawlstars/images/1/15/Tick_Mecha-Tick_Ghidorah_Pin-Special.png/revision/latest/scale-to-width-down/45?cb=20240426061841"
"1714986012-8","https://brawlstars.fandom.com/wiki/Category:Brawlers","Tick","https://brawlstars.fandom.com/wiki/Tick","https://static.wikia.nocookie.net/brawlstars/images/0/00/Tick_Mecha-Tick_Ghidorah_Light_Pin-Special.png/revision/latest/scale-to-width-down/45?cb=20240426061836"
"1714986012-9","https://brawlstars.fandom.com/wiki/Category:Brawlers","Tick","https://brawlstars.fandom.com/wiki/Tick","https://static.wikia.nocookie.net/brawlstars/images/c/c5/Tick_Mecha-Tick_Ghidorah_Dark_Pin-Special.png/revision/latest/scale-to-width-down/45?cb=20240422135225"
"1714986027-10","https://brawlstars.fandom.com/wiki/Category:Brawlers","Tara","https://brawlstars.fandom.com/wiki/Tara","https://static.wikia.nocookie.net/brawlstars/images/a/a6/Tara_Pin-Neutral.png/revision/latest/scale-to-width-down/34?cb=20200917164828"
"1714986027-11","https://brawlstars.fandom.com/wiki/Category:Brawlers","Tara","https://brawlstars.fandom.com/wiki/Tara","https://static.wikia.nocookie.net/brawlstars/images/0/02/Tara_Tempest_Pin-Neutral.png/revision/latest/scale-to-width-down/33?cb=20220428193413"
"1714986027-12","https://brawlstars.fandom.com/wiki/Category:Brawlers","Tara","https://brawlstars.fandom.com/wiki/Tara","https://static.wikia.nocookie.net/brawlstars/images/9/95/Tara_Ragequit_Pin-Neutral.png/revision/latest/scale-to-width-down/45?cb=20221125211252"
"1714986027-13","https://brawlstars.fandom.com/wiki/Category:Brawlers","Tara","https://brawlstars.fandom.com/wiki/Tara","https://static.wikia.nocookie.net/brawlstars/images/a/a6/Tara_Street_Ninja_Pin-Neutral.png/revision/latest/scale-to-width-down/32?cb=20230916003810"
"1714986027-14","https://brawlstars.fandom.com/wiki/Category:Brawlers","Tara","https://brawlstars.fandom.com/wiki/Tara","https://static.wikia.nocookie.net/brawlstars/images/9/9b/Tara_Urban_Ninja_Pin-Special.png/revision/latest/scale-to-width-down/45?cb=20240422135224"
"1714986056-16","https://brawlstars.fandom.com/wiki/Category:Brawlers","Surge","https://brawlstars.fandom.com/wiki/Surge","https://static.wikia.nocookie.net/brawlstars/images/2/2c/Surge_Stage2_Skin-Default.png/revision/latest/scale-to-width-down/80?cb=20200630190935"
"1714986056-19","https://brawlstars.fandom.com/wiki/Category:Brawlers","Surge","https://brawlstars.fandom.com/wiki/Surge","https://static.wikia.nocookie.net/brawlstars/images/3/39/Surge_Pin-Neutral.png/revision/latest/scale-to-width-down/45?cb=20210813164810"
